NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
148,Mobile Phone Hardware Repair Technician,2022/EHW/ESSC/05636,"The individual at work is responsible for rectifying faults in the mobile phone brought in by the customer. The individual receives the faulty mobile phone, diagnoses the problems, performs front end or hardware level repair as required, resolves software issues and ensures effective functioning before delivering back to customer.",Electronics & HW,Level 4,600 Hours,600 Hours,Version ,31 Mar 2022,31 Aug 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Mobile Phone Hardware Service Engineer,Multi-Skill Qualification,N.A.,"{""Theory"":""156"",""Practical"":""234"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
149,Wood Polisher,2022/CP/PCSC/05731,"The individual assesses the surface quality, advises the customer on any pre-treatment, prepares, cleans and then paints it using appropriate coatings, polishes, and tools to achieve the desired ﬁnish.",Paints & Coatings,Level 4,570 Hours,570 Hours,Version ,05 Feb 2018,16 Nov 2025,Paints and Coatings Skill Council,Paints and Coatings Skill Council,Industrial and Decorative Paint Application,Wood Polisher with experience can progress to Supervisor Decorative Painting or be self employed and become an entrepreneur. Please see the attached progression chart,General Qualification,N.A.,"{""Theory"":""115"",""Practical"":""320"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""75""}",,
150,3D Printing Operator,2022/ME/MESC/05697,"A 3D printer operator is a competent individual with technical and creative skills in additive manufacturing. They use computer-aided (CAD) software to develop designs to be 3D printed into finished works.
3D Printing technicians assist in the designing and programming of products, ranging from prosthetic products to 3D miniatures. They may also provide 3D printing maintenance, check 3D renders for customers and run 3D printing tests. 3D printing technicians can also repair, maintain and clean 3D printers.",Media & Entertainment,Level 4,570 Hours,510 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Printing,"Level 5 (Vertical)
Designer / CAD Operator",Future Skills Qualification,N.A.,"{""Theory"":""180"",""Practical"":""270"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
151,Anchor,2022/ME/MESC/05688,"Individual in this role will work closely with reporters and will be responsible for gathering information, broadcasting newscasts/commentary/biography etc. throughout the day and interviewing guests. He/she shall follow current events and present news stories to audiences in an informative, interesting, and unbiased way.
Anchors are responsible for helping gather information, interviewing live guests, and coordinating between reporters during broadcasts.",Media & Entertainment,Level 6,900 Hours,900 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Journalism,"Level 7 (Vertical)
Editor-in-Chief
Entrepreneur",General Qualification,N.A.,"{""Theory"":""270"",""Practical"":""570"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
152,Broadcasting Operation Manager,2022/ME/MESC/05695,"Individuals at this job are responsible for managing the broadcast operations team and responsible for driving revenue and delivering broadcast services and all other related filming services across the entire arts precinct.
Responsible for leading news production staff, executing content strategies, and managing the day-to-day logistics of the newsroom.",Media & Entertainment,Level 5,840 Hours,840 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Digital Media,"Level 6 (Vertical)
Sr. Broadcasting Operation Manager",General Qualification,N.A.,"{""Theory"":""315"",""Practical"":""465"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
153,Cinematic Tourism Manager,2022/ME/MESC/05704,"The Cinematic Tourist Manager (CTM) carry out survey of places of tourist interest with specific importance of film spot / in-demand cinematic scene & understands packages/ offers to promote cinematic tourism; collects information, identifies different modes of transport available for the tourists.
CTM will also know to facilitate the travel procedure and provide necessary guidance to tourist guides as to promote cinematic tourism location, provision for bookings, cancellation, changing of tickets & concession given in Railways. Plans and prepares the advertisements for newspapers, magazines etc. and makes broachers for tourist office, hotels, etc.",Media & Entertainment,Level 5,540 Hours,540 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Asset creation,"Level 6 (Vertical)
Location Manager, Film Producer, Entrepreneur",General Qualification,N.A.,"{""Theory"":""180"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",,
154,Content Strategist,2022/ME/MESC/05694,The core function of the job is developing a content strategy based on a company's or client's business objectives and a customer's or end user's needs. Creative professionals in this role oversee content requirements and create content strategy deliverables across a project life cycle.,Media & Entertainment,Level 5,840 Hours,840 Hours,Version ,31 Mar 2022,30 Mar 2022,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Digital Media,"Level 6 (Vertical)
Sr. Content Strategist",General Qualification,N.A.,"{""Theory"":""300"",""Practical"":""480"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
155,Correspondent,2022/ME/MESC/05686,"Correspondents are on-the-scene news reporters or journalists. They contribute news to television stations, newspapers, and radio stations, often working from remote areas and foreign countries.",Media & Entertainment,Level 4,510 Hours,510 Hours,Version ,31 Mar 2022,03 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Journalism,"Level 5 (Vertical)
Sr. Correspondent",General Qualification,N.A.,"{""Theory"":""125"",""Practical"":""225"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
156,Desk Editor,2022/ME/MESC/05689,"A desk editor is typically in charge of ensuring that a publication meets quality standards and delegating assignments to those who report to him or her. A newspaper's desk editor, for example, may assign reporters to stories on a regular basis or during breaking news stories.
Desk editors are responsible for the news stories covered by their media outlets. Desk editors must be capable of multitasking, assessing news tips, and making quick decisions when breaking news is reported to ensure that their news outlet provides the best possible coverage.",Media & Entertainment,Level 5,840 Hours,840 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Journalism,"Level 6 (Vertical)
Editor-in-Chief / News Editor",General Qualification,N.A.,"{""Theory"":""330"",""Practical"":""450"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
157,Gaffar Man,2022/ME/MESC/05699,The gaffer is the chief lighting technician on a set and is head of the electrical department. The gaffer's job is to run a team of lighting technicians to execute the lighting plan for a production,Media & Entertainment,Level 5,510 Hours,510 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,"Lighting Man, Film Production","Level 6 (Vertical)
Lighting Director",General Qualification,N.A.,"{""Theory"":""165"",""Practical"":""255"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",,
158,Jr. Digital Film Restoration Artist,2022/ME/MESC/05698,"An individual at this job role is responsible to make clear vision of film by removing dust, image stabilization, de-wrap, de-spot, de-stain the film as well as clean the audio system.",Media & Entertainment,Level 3,450 Hours,450 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Film Production,"Level 4 (Vertical)
Digital Film Restoration Artist",General Qualification,N.A.,"{""Theory"":""135"",""Practical"":""225"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""90""}",,
159,Media IP (Intellectual Property) Merchandising Director,2022/ME/MESC/05696,"The Intellectual Property Merchandising Director must combine strong abilities to influence, collaborate, build culture and lead with deep Intellectual Property knowledge and skills so as to advise, inform and execute on behalf of the Participating Institutions, whereas these Institutions have different research strengths, different sizes and budgets and unique management structures, metrics and intellectual property policies, yet all sharing a common goal of accelerating the collective power of Kentucky’s post-secondary institutions.
Individuals at this job is responsible The IP Merchandising Director is responsible to develop, execute and oversee companies intellectual property strategies.",Media & Entertainment,Level 6,900 Hours,900 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Digital Media,"Level 7 (Vertical)
Entrepreneur",General Qualification,N.A.,"{""Theory"":""330"",""Practical"":""510"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""0""}",,
160,Multiplex Operation Manager,2022/ME/MESC/05693,Individual at this job is responsible for the planning and execution of all operational aspects and the day to day control of the Cinemas business to meet sales and performance standards.,Media & Entertainment,Level 5,840 Hours,840 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,"Production (Film, Live Performance)","Level 6 (Vertical)
Sr. Multiplex Operation Manager",General Qualification,N.A.,"{""Theory"":""330"",""Practical"":""510"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""0""}",,
161,Music Therapist,2022/ME/MESC/05700,"A type of expressive arts therapy that uses music to improve and maintain the physical, psychological, and social well-being. Music therapy is an established health profession where physical, emotional, cognitive, and social goals are achieved through the use of music within the therapeutic relationship
Music therapists are qualified therapists who use music interventions to assist clients to explore their feelings and improve their emotional-wellbeing and problem-solving skills. Music therapists assist people with developmental and learning disabilities, and age-related conditions.
Certified Music Therapists work with people of all ages and abilities to help them achieve their therapeutic goals. This can include to reduce anxiety, improve social and communication skills, increase self-awareness, and improve specific motor skills.",Media & Entertainment,Level 5,840 Hours,750 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skill Council,Occupational Therapist,"Level 6 (Vertical)
Sr. Music Therapist",General Qualification,N.A.,"{""Theory"":""225"",""Practical"":""465"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",,
162,Radio Jockey,2022/ME/MESC/05690,"A Radio Jockey (RJ) is responsible for playing music, holding discussions with the listeners, and conducting interviews on radio. These professionals use specially designed equipment to broadcast a variety of audio content, including songs, news, debates, promo events, among others.
An RJ's role is to inform, refresh and entertain. Also known as Radio DJs, their work involves presenting a variety of music programmes and entertaining audiences with other things such as guest interviews of artists, celebrities, music or film-related work.",Media & Entertainment,Level 5,840 Hours,840 Hours,Version ,31 Mar 2022,30 Mar 2027,Media & Entertainment Skill Council (MESC),MESC – Media & Entertainment Skills Council,Presenter / Jockey / Broadcast,"Level 6 (Vertical)
Anchor, Producer",General Qualification,N.A.,"{""Theory"":""300"",""Practical"":""450"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""90""}",,
